user_id,signup_date,signup_month,acquisition_channel,city_tier,age_bracket,risk_profile
NV400082,2026-01-11,2026-01,Paid Ads,Tier 1,35-44,Moderate
NV400083,2026-01-12,2026-01,Influencer/Content,Tier 1,45-54,Conservative
NV400084,2026-01-20,2026-01,Influencer/Content,Tier 1,25-34,Aggressive
NV400085,2026-01-13,2026-01,Referral,Tier 1,35-44,Conservative
NV400086,2026-01-11,2026-01,Organic App Store,Tier 3,18-24,Moderate
NV400087,2026-01-02,2026-01,Organic App Store,Tier 1,25-34,Conservative
NV400088,2026-01-09,2026-01,Organic App Store,Tier 2,35-44,Conservative
NV400089,2026-01-29,2026-01,Organic App Store,Tier 3,25-34,Conservative
NV400090,2026-01-07,2026-01,Paid Ads,Tier 2,25-34,Moderate
NV400091,2026-01-03,2026-01,Influencer/Content,Tier 3,45-54,Moderate
NV400092,2026-01-23,2026-01,Influencer/Content,Tier 3,25-34,Conservative
NV400093,2026-01-30,2026-01,Paid Ads,Tier 2,25-34,Moderate
NV400094,2026-01-07,2026-01,Organic App Store,Tier 2,35-44,Moderate
NV400095,2026-01-24,2026-01,Organic App Store,Tier 1,18-24,Moderate
NV400096,2026-01-23,2026-01,Organic App Store,Tier 2,25-34,Moderate
NV400097,2026-01-07,2026-01,Organic App Store,Tier 1,18-24,Moderate
NV400098,2026-01-26,2026-01,Influencer/Content,Tier 3,18-24,Aggressive
NV400099,2026-01-11,2026-01,Organic App Store,Tier 1,18-24,Conservative
NV400100,2026-01-15,2026-01,Organic App Store,Tier 1,35-44,Aggressive
NV400101,2026-01-08,2026-01,Referral,Tier 1,25-34,Conservative
NV400102,2026-01-17,2026-01,Influencer/Content,Tier 3,55+,Moderate
NV400103,2026-01-19,2026-01,Referral,Tier 1,35-44,Moderate
NV400104,2026-01-03,2026-01,Organic App Store,Tier 1,18-24,Aggressive
NV400105,2026-01-01,2026-01,Organic App Store,Tier 3,25-34,Aggressive
NV400106,2026-01-20,2026-01,Referral,Tier 2,18-24,Aggressive
NV400107,2026-01-13,2026-01,Paid Ads,Tier 2,55+,Aggressive
NV400108,2026-01-18,2026-01,Organic App Store,Tier 3,35-44,Moderate
NV400109,2026-01-23,2026-01,Referral,Tier 2,45-54,Moderate
NV400110,2026-01-03,2026-01,Influencer/Content,Tier 1,18-24,Aggressive
NV400111,2026-01-14,2026-01,Organic App Store,Tier 3,25-34,Moderate
NV400112,2026-01-16,2026-01,Organic App Store,Tier 2,18-24,Moderate
NV400113,2026-01-19,2026-01,Influencer/Content,Tier 1,35-44,Aggressive
NV400114,2026-01-24,2026-01,Organic App Store,Tier 2,35-44,Aggressive
NV400115,2026-01-13,2026-01,Organic App Store,Tier 1,35-44,Conservative
NV400116,2026-01-30,2026-01,Influencer/Content,Tier 1,25-34,Aggressive
NV400117,2026-01-19,2026-01,Influencer/Content,Tier 2,35-44,Moderate
NV400118,2026-01-23,2026-01,Referral,Tier 3,35-44,Moderate
NV400119,2026-01-26,2026-01,Organic App Store,Tier 2,18-24,Conservative
NV400120,2026-01-19,2026-01,Referral,Tier 3,45-54,Aggressive
NV400121,2026-01-21,2026-01,Paid Ads,Tier 2,35-44,Moderate
NV400122,2026-01-24,2026-01,Paid Ads,Tier 2,25-34,Moderate
NV400123,2026-01-27,2026-01,Referral,Tier 3,55+,Moderate
NV400124,2026-01-12,2026-01,Organic App Store,Tier 3,18-24,Moderate
NV400125,2026-01-26,2026-01,Influencer/Content,Tier 3,35-44,Conservative
NV400126,2026-01-09,2026-01,Referral,Tier 1,55+,Moderate
NV400127,2026-01-16,2026-01,Influencer/Content,Tier 2,18-24,Conservative
NV400128,2026-01-16,2026-01,Referral,Tier 1,45-54,Moderate
NV400129,2026-01-13,2026-01,Influencer/Content,Tier 1,18-24,Moderate
NV400130,2026-01-15,2026-01,Paid Ads,Tier 2,25-34,Conservative
NV400131,2026-01-21,2026-01,Influencer/Content,Tier 1,25-34,Conservative
NV400132,2026-01-01,2026-01,Paid Ads,Tier 3,45-54,Moderate
NV400133,2026-01-21,2026-01,Paid Ads,Tier 1,18-24,Moderate
NV400134,2026-01-09,2026-01,Organic App Store,Tier 3,35-44,Conservative
NV400135,2026-01-10,2026-01,Influencer/Content,Tier 1,35-44,Moderate
NV400136,2026-01-16,2026-01,Influencer/Content,Tier 1,25-34,Conservative
NV400137,2026-01-19,2026-01,Referral,Tier 1,35-44,Moderate
NV400138,2026-01-18,2026-01,Referral,Tier 3,25-34,Conservative
NV400139,2026-01-12,2026-01,Organic App Store,Tier 2,45-54,Moderate
NV400140,2026-01-29,2026-01,Referral,Tier 2,18-24,Aggressive
NV400141,2026-01-30,2026-01,Paid Ads,Tier 3,18-24,Moderate
NV400142,2026-01-10,2026-01,Organic App Store,Tier 2,35-44,Moderate
NV400143,2026-01-07,2026-01,Paid Ads,Tier 3,25-34,Conservative
NV400144,2026-01-14,2026-01,Influencer/Content,Tier 2,35-44,Conservative
NV400145,2026-01-13,2026-01,Referral,Tier 3,35-44,Aggressive
NV400146,2026-01-11,2026-01,Paid Ads,Tier 1,45-54,Moderate
NV400147,2026-01-26,2026-01,Referral,Tier 1,18-24,Moderate
NV400148,2026-01-02,2026-01,Organic App Store,Tier 2,18-24,Conservative
NV400149,2026-01-15,2026-01,Paid Ads,Tier 2,35-44,Moderate
NV400150,2026-01-13,2026-01,Referral,Tier 1,18-24,Moderate
NV400151,2026-01-08,2026-01,Referral,Tier 2,18-24,Aggressive
NV400152,2026-01-16,2026-01,Referral,Tier 3,35-44,Aggressive
NV400153,2026-01-07,2026-01,Influencer/Content,Tier 1,25-34,Moderate
NV400154,2026-01-02,2026-01,Organic App Store,Tier 3,18-24,Moderate
NV400155,2026-01-22,2026-01,Influencer/Content,Tier 2,25-34,Conservative
NV400156,2026-01-18,2026-01,Organic App Store,Tier 1,55+,Moderate
NV400157,2026-01-20,2026-01,Referral,Tier 1,25-34,Conservative
NV400158,2026-01-24,2026-01,Referral,Tier 1,25-34,Conservative
NV400159,2026-01-10,2026-01,Organic App Store,Tier 1,45-54,Conservative
NV400160,2026-01-29,2026-01,Referral,Tier 2,18-24,Moderate
NV400161,2026-01-10,2026-01,Organic App Store,Tier 3,25-34,Conservative
NV400162,2026-01-19,2026-01,Organic App Store,Tier 1,35-44,Conservative
NV400163,2026-01-16,2026-01,Referral,Tier 1,25-34,Moderate
NV400164,2026-01-19,2026-01,Organic App Store,Tier 2,25-34,Moderate
NV400165,2026-01-27,2026-01,Paid Ads,Tier 2,25-34,Aggressive
NV400166,2026-01-05,2026-01,Paid Ads,Tier 1,25-34,Conservative
NV400167,2026-01-20,2026-01,Referral,Tier 1,55+,Moderate
NV400168,2026-01-15,2026-01,Paid Ads,Tier 1,25-34,Aggressive
NV400169,2026-01-02,2026-01,Organic App Store,Tier 2,45-54,Conservative
NV400170,2026-01-25,2026-01,Organic App Store,Tier 1,18-24,Moderate
NV400171,2026-01-19,2026-01,Organic App Store,Tier 1,45-54,Moderate
NV400172,2026-01-20,2026-01,Organic App Store,Tier 1,35-44,Moderate
NV400173,2026-01-29,2026-01,Influencer/Content,Tier 1,18-24,Aggressive
NV400174,2026-01-19,2026-01,Influencer/Content,Tier 1,35-44,Moderate
NV400175,2026-01-13,2026-01,Organic App Store,Tier 2,25-34,Moderate
NV400176,2026-01-25,2026-01,Organic App Store,Tier 3,18-24,Conservative
NV400177,2026-01-27,2026-01,Paid Ads,Tier 2,45-54,Moderate
NV400178,2026-01-10,2026-01,Influencer/Content,Tier 2,35-44,Moderate
NV400179,2026-01-28,2026-01,Organic App Store,Tier 3,35-44,Conservative
NV400180,2026-01-18,2026-01,Organic App Store,Tier 2,25-34,Moderate
NV400181,2026-01-07,2026-01,Organic App Store,Tier 1,35-44,Moderate
NV400182,2026-01-04,2026-01,Paid Ads,Tier 3,55+,Moderate
NV400183,2026-01-11,2026-01,Influencer/Content,Tier 1,25-34,Moderate
NV400184,2026-01-28,2026-01,Referral,Tier 1,25-34,Moderate
NV400185,2026-01-07,2026-01,Influencer/Content,Tier 2,45-54,Aggressive
NV400186,2026-01-15,2026-01,Organic App Store,Tier 2,18-24,Aggressive
NV400187,2026-01-15,2026-01,Referral,Tier 1,35-44,Aggressive
NV400188,2026-01-25,2026-01,Influencer/Content,Tier 2,25-34,Moderate
NV400189,2026-01-21,2026-01,Referral,Tier 2,18-24,Moderate
NV400190,2026-01-16,2026-01,Organic App Store,Tier 2,35-44,Moderate
NV400191,2026-01-24,2026-01,Organic App Store,Tier 2,25-34,Conservative
NV400192,2026-01-25,2026-01,Influencer/Content,Tier 1,35-44,Moderate
NV400193,2026-01-02,2026-01,Influencer/Content,Tier 2,25-34,Moderate
NV400194,2026-01-01,2026-01,Organic App Store,Tier 2,18-24,Conservative
NV400195,2026-01-28,2026-01,Referral,Tier 1,25-34,Moderate
NV400196,2026-01-19,2026-01,Influencer/Content,Tier 1,45-54,Aggressive
NV400197,2026-01-03,2026-01,Paid Ads,Tier 1,18-24,Moderate
NV400198,2026-01-07,2026-01,Organic App Store,Tier 3,18-24,Conservative
NV400199,2026-01-28,2026-01,Organic App Store,Tier 3,25-34,Moderate
NV400200,2026-01-24,2026-01,Organic App Store,Tier 2,45-54,Conservative
NV400201,2026-01-15,2026-01,Organic App Store,Tier 3,25-34,Aggressive
NV400202,2026-01-06,2026-01,Influencer/Content,Tier 2,25-34,Aggressive
NV400203,2026-01-03,2026-01,Influencer/Content,Tier 2,25-34,Moderate
NV400204,2026-01-11,2026-01,Paid Ads,Tier 3,25-34,Conservative
NV400205,2026-01-01,2026-01,Paid Ads,Tier 1,25-34,Aggressive
NV400206,2026-01-03,2026-01,Referral,Tier 2,35-44,Aggressive
NV400207,2026-01-04,2026-01,Referral,Tier 2,25-34,Conservative
NV400208,2026-01-11,2026-01,Referral,Tier 1,25-34,Conservative
NV400209,2026-01-01,2026-01,Organic App Store,Tier 2,35-44,Moderate
NV400210,2026-01-01,2026-01,Paid Ads,Tier 2,25-34,Aggressive
NV400211,2026-01-29,2026-01,Paid Ads,Tier 1,25-34,Aggressive
NV400212,2026-01-02,2026-01,Organic App Store,Tier 1,35-44,Aggressive
NV400213,2026-01-18,2026-01,Influencer/Content,Tier 1,25-34,Aggressive
NV400214,2026-01-30,2026-01,Referral,Tier 2,45-54,Aggressive
NV400215,2026-01-08,2026-01,Organic App Store,Tier 1,25-34,Moderate
NV400216,2026-01-19,2026-01,Organic App Store,Tier 1,25-34,Conservative
NV400217,2026-01-03,2026-01,Organic App Store,Tier 2,18-24,Conservative
NV400218,2026-01-06,2026-01,Organic App Store,Tier 2,25-34,Aggressive
NV400219,2026-01-17,2026-01,Paid Ads,Tier 2,35-44,Conservative
NV400220,2026-01-19,2026-01,Influencer/Content,Tier 3,25-34,Moderate
NV400221,2026-01-12,2026-01,Referral,Tier 3,25-34,Moderate
NV400222,2026-01-12,2026-01,Organic App Store,Tier 2,35-44,Aggressive
NV400223,2026-01-05,2026-01,Referral,Tier 1,18-24,Conservative
NV400224,2026-01-06,2026-01,Organic App Store,Tier 3,18-24,Moderate
NV400225,2026-01-09,2026-01,Paid Ads,Tier 1,25-34,Conservative
NV400226,2026-01-08,2026-01,Organic App Store,Tier 2,25-34,Conservative
NV400227,2026-01-23,2026-01,Paid Ads,Tier 3,25-34,Conservative
NV400228,2026-01-24,2026-01,Organic App Store,Tier 2,35-44,Moderate
NV400229,2026-01-02,2026-01,Influencer/Content,Tier 2,25-34,Moderate
NV400230,2026-01-22,2026-01,Paid Ads,Tier 2,35-44,Moderate
NV400231,2026-01-25,2026-01,Influencer/Content,Tier 1,35-44,Conservative
NV400232,2026-01-01,2026-01,Referral,Tier 2,18-24,Moderate
NV400233,2026-01-28,2026-01,Influencer/Content,Tier 2,45-54,Moderate
NV400234,2026-01-30,2026-01,Organic App Store,Tier 1,18-24,Conservative
NV400235,2026-01-27,2026-01,Influencer/Content,Tier 1,25-34,Moderate
NV400236,2026-01-15,2026-01,Paid Ads,Tier 1,18-24,Conservative
NV400237,2026-01-04,2026-01,Influencer/Content,Tier 3,25-34,Moderate
NV400238,2026-01-13,2026-01,Influencer/Content,Tier 2,25-34,Moderate
NV400239,2026-01-25,2026-01,Paid Ads,Tier 2,45-54,Moderate
NV400240,2026-01-05,2026-01,Referral,Tier 1,25-34,Aggressive
NV400241,2026-01-21,2026-01,Paid Ads,Tier 2,35-44,Moderate
NV400242,2026-01-20,2026-01,Organic App Store,Tier 2,18-24,Conservative
NV400243,2026-01-02,2026-01,Influencer/Content,Tier 1,25-34,Aggressive
NV400244,2026-01-18,2026-01,Influencer/Content,Tier 1,25-34,Conservative
NV400245,2026-01-05,2026-01,Influencer/Content,Tier 2,35-44,Conservative
NV400246,2026-01-28,2026-01,Organic App Store,Tier 1,35-44,Moderate
NV400247,2026-01-12,2026-01,Influencer/Content,Tier 3,35-44,Conservative
NV400248,2026-01-15,2026-01,Referral,Tier 2,25-34,Moderate
NV400249,2026-01-14,2026-01,Organic App Store,Tier 1,25-34,Aggressive
NV400250,2026-01-05,2026-01,Paid Ads,Tier 2,18-24,Moderate
NV400251,2026-01-21,2026-01,Paid Ads,Tier 1,35-44,Moderate
NV400252,2026-01-22,2026-01,Influencer/Content,Tier 2,25-34,Moderate
NV400253,2026-01-19,2026-01,Referral,Tier 2,18-24,Aggressive
NV400254,2026-01-12,2026-01,Referral,Tier 2,25-34,Conservative
NV400255,2026-01-19,2026-01,Paid Ads,Tier 2,25-34,Moderate
NV400256,2026-01-18,2026-01,Paid Ads,Tier 3,35-44,Conservative
NV400257,2026-01-08,2026-01,Influencer/Content,Tier 2,25-34,Moderate
NV400258,2026-01-11,2026-01,Organic App Store,Tier 1,35-44,Moderate
NV400259,2026-01-30,2026-01,Organic App Store,Tier 2,25-34,Conservative
NV400260,2026-01-05,2026-01,Paid Ads,Tier 1,18-24,Aggressive
NV400261,2026-01-27,2026-01,Paid Ads,Tier 2,25-34,Conservative
NV400262,2026-01-17,2026-01,Influencer/Content,Tier 2,25-34,Conservative
NV400263,2026-01-08,2026-01,Paid Ads,Tier 1,25-34,Aggressive
NV400264,2026-01-20,2026-01,Influencer/Content,Tier 1,25-34,Moderate
NV400265,2026-01-28,2026-01,Influencer/Content,Tier 2,45-54,Aggressive
NV400266,2026-01-19,2026-01,Influencer/Content,Tier 2,18-24,Moderate
NV400267,2026-01-25,2026-01,Referral,Tier 2,55+,Conservative
NV400268,2026-01-10,2026-01,Organic App Store,Tier 3,45-54,Moderate
NV400269,2026-01-10,2026-01,Referral,Tier 3,35-44,Moderate
NV400270,2026-01-20,2026-01,Influencer/Content,Tier 2,35-44,Moderate
NV400271,2026-01-26,2026-01,Referral,Tier 2,35-44,Moderate
NV400272,2026-01-20,2026-01,Organic App Store,Tier 2,45-54,Aggressive
NV400273,2026-01-20,2026-01,Paid Ads,Tier 2,25-34,Moderate
NV400274,2026-01-05,2026-01,Referral,Tier 2,35-44,Aggressive
NV400275,2026-01-18,2026-01,Organic App Store,Tier 1,18-24,Moderate
NV400276,2026-01-03,2026-01,Referral,Tier 3,25-34,Moderate
NV400277,2026-01-11,2026-01,Paid Ads,Tier 1,18-24,Conservative
NV400278,2026-01-14,2026-01,Influencer/Content,Tier 3,25-34,Moderate
NV400279,2026-01-01,2026-01,Organic App Store,Tier 3,18-24,Moderate
NV400280,2026-01-29,2026-01,Influencer/Content,Tier 1,18-24,Aggressive
NV400281,2026-01-28,2026-01,Referral,Tier 2,45-54,Moderate
NV400282,2026-01-10,2026-01,Referral,Tier 3,25-34,Moderate
NV400283,2026-01-28,2026-01,Paid Ads,Tier 2,18-24,Conservative
NV400284,2026-01-20,2026-01,Influencer/Content,Tier 1,25-34,Moderate
NV400285,2026-01-17,2026-01,Referral,Tier 2,25-34,Conservative
NV400286,2026-01-11,2026-01,Influencer/Content,Tier 1,25-34,Moderate
NV400287,2026-01-20,2026-01,Organic App Store,Tier 2,25-34,Moderate
NV400288,2026-01-09,2026-01,Organic App Store,Tier 1,25-34,Moderate
NV400289,2026-01-24,2026-01,Influencer/Content,Tier 3,25-34,Moderate
NV400290,2026-01-27,2026-01,Influencer/Content,Tier 3,25-34,Moderate
NV400291,2026-01-01,2026-01,Organic App Store,Tier 1,35-44,Conservative
NV400292,2026-01-27,2026-01,Referral,Tier 3,18-24,Aggressive
NV400293,2026-01-07,2026-01,Paid Ads,Tier 1,35-44,Moderate
NV400294,2026-01-10,2026-01,Organic App Store,Tier 1,55+,Moderate
NV400295,2026-01-03,2026-01,Paid Ads,Tier 2,25-34,Moderate
NV400296,2026-01-15,2026-01,Referral,Tier 3,35-44,Conservative
NV400297,2026-01-30,2026-01,Referral,Tier 1,35-44,Moderate
NV400298,2026-01-08,2026-01,Organic App Store,Tier 1,35-44,Moderate
NV400299,2026-01-15,2026-01,Paid Ads,Tier 2,25-34,Aggressive
NV400300,2026-01-25,2026-01,Influencer/Content,Tier 2,35-44,Moderate
NV400301,2026-01-12,2026-01,Organic App Store,Tier 3,18-24,Conservative
NV400302,2026-01-17,2026-01,Influencer/Content,Tier 2,35-44,Aggressive
NV400303,2026-01-24,2026-01,Influencer/Content,Tier 1,55+,Conservative
NV400304,2026-01-23,2026-01,Organic App Store,Tier 2,45-54,Moderate
NV400305,2026-01-15,2026-01,Influencer/Content,Tier 1,18-24,Aggressive
NV400306,2026-01-30,2026-01,Influencer/Content,Tier 1,35-44,Aggressive
NV400307,2026-01-17,2026-01,Paid Ads,Tier 1,18-24,Conservative
NV400308,2026-01-22,2026-01,Paid Ads,Tier 2,25-34,Moderate
NV400309,2026-01-29,2026-01,Influencer/Content,Tier 1,18-24,Conservative
NV400310,2026-01-28,2026-01,Paid Ads,Tier 2,55+,Moderate
NV400311,2026-01-19,2026-01,Organic App Store,Tier 1,18-24,Moderate
NV400312,2026-01-11,2026-01,Paid Ads,Tier 1,25-34,Aggressive
NV400313,2026-01-12,2026-01,Paid Ads,Tier 3,45-54,Conservative
NV400314,2026-01-11,2026-01,Referral,Tier 1,25-34,Conservative
NV400315,2026-01-13,2026-01,Organic App Store,Tier 3,55+,Conservative
NV400316,2026-01-13,2026-01,Paid Ads,Tier 1,18-24,Conservative
NV400317,2026-01-19,2026-01,Influencer/Content,Tier 3,25-34,Moderate
NV400318,2026-01-25,2026-01,Organic App Store,Tier 1,25-34,Moderate
NV400319,2026-01-13,2026-01,Organic App Store,Tier 1,25-34,Conservative
NV400320,2026-01-18,2026-01,Referral,Tier 1,35-44,Moderate
NV400321,2026-01-16,2026-01,Referral,Tier 1,55+,Moderate
NV400322,2026-01-21,2026-01,Paid Ads,Tier 2,18-24,Aggressive
NV400323,2026-01-20,2026-01,Paid Ads,Tier 2,18-24,Aggressive
NV400324,2026-01-12,2026-01,Influencer/Content,Tier 1,25-34,Conservative
NV400325,2026-01-13,2026-01,Referral,Tier 3,25-34,Aggressive
NV400326,2026-01-05,2026-01,Organic App Store,Tier 2,25-34,Conservative
NV400327,2026-01-22,2026-01,Paid Ads,Tier 1,45-54,Conservative
NV400328,2026-01-19,2026-01,Influencer/Content,Tier 1,45-54,Moderate
NV400329,2026-01-30,2026-01,Referral,Tier 2,45-54,Aggressive
NV400330,2026-01-24,2026-01,Organic App Store,Tier 2,45-54,Moderate
NV400331,2026-01-29,2026-01,Influencer/Content,Tier 3,35-44,Conservative
NV400332,2026-01-24,2026-01,Referral,Tier 2,35-44,Moderate
NV400333,2026-01-03,2026-01,Organic App Store,Tier 3,25-34,Moderate
NV400334,2026-01-10,2026-01,Organic App Store,Tier 1,35-44,Moderate
NV400335,2026-01-23,2026-01,Referral,Tier 1,25-34,Aggressive
NV400336,2026-01-08,2026-01,Organic App Store,Tier 1,35-44,Conservative
NV400337,2026-01-12,2026-01,Paid Ads,Tier 2,18-24,Conservative
NV400338,2026-01-28,2026-01,Organic App Store,Tier 3,18-24,Moderate
NV400339,2026-01-17,2026-01,Influencer/Content,Tier 3,25-34,Moderate
NV400340,2026-01-12,2026-01,Influencer/Content,Tier 3,25-34,Aggressive
NV400341,2026-01-02,2026-01,Organic App Store,Tier 2,25-34,Moderate
NV400342,2026-01-02,2026-01,Paid Ads,Tier 1,25-34,Moderate
NV400343,2026-01-29,2026-01,Paid Ads,Tier 3,25-34,Moderate
NV400344,2026-01-23,2026-01,Referral,Tier 2,25-34,Conservative
NV400345,2026-01-26,2026-01,Paid Ads,Tier 1,18-24,Moderate
NV400346,2026-01-05,2026-01,Paid Ads,Tier 1,25-34,Aggressive
NV400347,2026-01-28,2026-01,Influencer/Content,Tier 1,35-44,Aggressive
NV400348,2026-01-25,2026-01,Influencer/Content,Tier 3,35-44,Aggressive
NV400349,2026-01-04,2026-01,Influencer/Content,Tier 1,35-44,Aggressive
NV400350,2026-01-09,2026-01,Referral,Tier 2,35-44,Moderate
NV400351,2026-01-11,2026-01,Organic App Store,Tier 3,25-34,Moderate
NV400352,2026-01-23,2026-01,Referral,Tier 3,25-34,Conservative
NV400353,2026-01-15,2026-01,Influencer/Content,Tier 1,18-24,Moderate
NV400354,2026-01-03,2026-01,Influencer/Content,Tier 3,25-34,Conservative
NV400355,2026-01-15,2026-01,Organic App Store,Tier 2,35-44,Moderate
NV400356,2026-01-21,2026-01,Influencer/Content,Tier 2,35-44,Aggressive
NV400357,2026-01-26,2026-01,Influencer/Content,Tier 2,25-34,Aggressive
