redemption_id,user_id,redemption_date,product_type,amount_inr,is_correction_period
950056,NV400513,2026-05-27,ETF,3480.15,True
950057,NV400528,2026-05-02,Mutual Fund - Hybrid,2253.3,True
950058,NV400533,2026-04-12,Mutual Fund - Hybrid,1422.23,False
950059,NV400539,2026-05-02,Mutual Fund - Equity,3618.81,True
950060,NV400541,2026-04-14,Mutual Fund - Equity,4429.51,False
950061,NV400556,2026-01-08,Mutual Fund - Hybrid,2618.15,False
950062,NV400612,2026-01-12,Mutual Fund - Debt,6294.99,False
950063,NV400620,2026-01-14,Direct Stocks,15333.02,False
950064,NV400646,2026-04-07,Mutual Fund - Equity,8169.35,False
950065,NV400654,2026-01-07,Mutual Fund - Hybrid,927.13,False
950066,NV400659,2026-03-04,Mutual Fund - Equity,5366.17,False
950067,NV400670,2026-04-23,Mutual Fund - Equity,4751.99,False
950068,NV400677,2026-04-04,Mutual Fund - Equity,8263.51,False
950069,NV400678,2026-01-14,Mutual Fund - Equity,2011.54,False
950070,NV400680,2026-04-17,Direct Stocks,1703.58,False
950071,NV400685,2026-05-21,Mutual Fund - Equity,3416.46,True
950072,NV400696,2026-02-15,Direct Stocks,2435.37,False
950073,NV400729,2026-05-02,ETF,5695.65,True
950074,NV400735,2026-04-13,Mutual Fund - Hybrid,8893.69,False
950075,NV400737,2026-01-14,Direct Stocks,3772.25,False
950076,NV400742,2026-02-27,Mutual Fund - Equity,4702.18,False
950077,NV400743,2026-06-07,ETF,3969.43,True
950078,NV400750,2026-05-08,Mutual Fund - Hybrid,11865.68,True
950079,NV400759,2026-07-13,Mutual Fund - Hybrid,2171.95,False
950080,NV400771,2026-01-05,ETF,10493.38,False
950081,NV400771,2026-04-05,ETF,5454.45,False
950082,NV400778,2026-04-12,ETF,20963.9,False
950083,NV400824,2026-01-03,Mutual Fund - Debt,8221.93,False
950084,NV400825,2026-01-03,Mutual Fund - Equity,5238.26,False
950085,NV400827,2026-05-05,Mutual Fund - Equity,4940.15,True
950086,NV400827,2026-06-25,Mutual Fund - Equity,1313.88,True
950087,NV400836,2026-07-17,Direct Stocks,1501.11,False
950088,NV400841,2026-04-08,ETF,2157.35,False
950089,NV400858,2026-03-10,Mutual Fund - Hybrid,3221.97,False
950090,NV400858,2026-04-25,Mutual Fund - Hybrid,2275.6,False
950091,NV400864,2026-02-04,Mutual Fund - Equity,870.21,False
950092,NV400871,2026-03-17,Mutual Fund - Equity,13144.44,False
950093,NV400899,2026-01-10,Mutual Fund - Equity,2110.89,False
950094,NV400926,2026-03-16,Mutual Fund - Equity,11734.21,False
950095,NV400926,2026-05-02,Mutual Fund - Equity,7731.85,True
950096,NV400979,2026-01-04,Mutual Fund - Debt,7206.02,False
950097,NV401009,2026-02-22,Mutual Fund - Debt,2284.49,False
950098,NV401026,2026-05-08,Direct Stocks,4227.13,True
950099,NV401051,2026-05-17,Mutual Fund - Hybrid,1589.79,True
950100,NV401066,2026-07-06,Mutual Fund - Equity,1958.5,False
950101,NV401072,2026-05-18,Mutual Fund - Hybrid,4116.76,True
950102,NV401075,2026-03-17,Mutual Fund - Equity,951.74,False
950103,NV401111,2026-01-16,Mutual Fund - Equity,6294.42,False
950104,NV401129,2026-02-27,Mutual Fund - Hybrid,5707.23,False
950105,NV401135,2026-03-22,Mutual Fund - Debt,1657.61,False
950106,NV401144,2026-04-23,Mutual Fund - Equity,3854.06,False
950107,NV401144,2026-05-23,Mutual Fund - Equity,5304.54,True
950108,NV401147,2026-07-01,Mutual Fund - Debt,3213.14,False
950109,NV401158,2026-02-02,Mutual Fund - Equity,3404.24,False
950110,NV401176,2026-05-14,Mutual Fund - Debt,4034.14,True
950111,NV401177,2026-05-11,Mutual Fund - Hybrid,1761.77,True
950112,NV401188,2026-01-01,Mutual Fund - Equity,2450.16,False
950113,NV401204,2026-03-07,Mutual Fund - Debt,1861.78,False
950114,NV401212,2026-01-27,Mutual Fund - Equity,10996.39,False
950115,NV401213,2026-04-18,Direct Stocks,12006.44,False
950116,NV401214,2026-07-01,Direct Stocks,3941.04,False
950117,NV401222,2026-04-16,Mutual Fund - Equity,2300.6,False
950118,NV401238,2026-07-07,Direct Stocks,1454.91,False
950119,NV401240,2026-03-03,Mutual Fund - Equity,3429.77,False
950120,NV401247,2026-07-27,Mutual Fund - Equity,3596.88,False
950121,NV401251,2026-01-07,Mutual Fund - Equity,4032.95,False
950122,NV401277,2026-03-16,Mutual Fund - Equity,9301.21,False
950123,NV401291,2026-06-11,Mutual Fund - Equity,3852.47,True
950124,NV401293,2026-05-27,Mutual Fund - Equity,5285.58,True
950125,NV401299,2026-03-15,Direct Stocks,3400.51,False
950126,NV401308,2026-02-07,Mutual Fund - Debt,2846.53,False
950127,NV401316,2026-05-11,Mutual Fund - Hybrid,8566.1,True
950128,NV401323,2026-02-09,Mutual Fund - Equity,1046.78,False
950129,NV401327,2026-03-25,Mutual Fund - Hybrid,3860.85,False
950130,NV401329,2026-05-01,Mutual Fund - Debt,10329.11,True
950131,NV401331,2026-05-12,Mutual Fund - Equity,3622.71,True
950132,NV401334,2026-01-25,Mutual Fund - Debt,1515.87,False
950133,NV401347,2026-04-05,Mutual Fund - Debt,4730.33,False
950134,NV401352,2026-01-05,Mutual Fund - Equity,4961.89,False
950135,NV401352,2026-05-19,Mutual Fund - Equity,3110.09,True
950136,NV401367,2026-04-20,ETF,2586.2,False
950137,NV401370,2026-07-21,Mutual Fund - Equity,4801.27,False
950138,NV401382,2026-04-23,Mutual Fund - Debt,4017.86,False
950139,NV401388,2026-05-14,Direct Stocks,8179.32,True
950140,NV401392,2026-03-21,Direct Stocks,4272.95,False
950141,NV401395,2026-03-27,Mutual Fund - Equity,6935.29,False
950142,NV401402,2026-05-03,Mutual Fund - Equity,6959.38,True
950143,NV401418,2026-05-12,Mutual Fund - Debt,5443.43,True
950144,NV401427,2026-04-01,Mutual Fund - Hybrid,4986.8,False
950145,NV401427,2026-06-09,Mutual Fund - Hybrid,23068.77,True
950146,NV401428,2026-02-03,Mutual Fund - Hybrid,7069.72,False
950147,NV401429,2026-03-18,Mutual Fund - Equity,3096.72,False
950148,NV401445,2026-05-14,ETF,3663.69,True
950149,NV401447,2026-05-10,ETF,2552.18,True
950150,NV401451,2026-01-24,Mutual Fund - Equity,2066.57,False
950151,NV401453,2026-06-20,Mutual Fund - Equity,1754.6,True
950152,NV401457,2026-02-16,Mutual Fund - Equity,7280.33,False
950153,NV401459,2026-04-22,Mutual Fund - Debt,7583.89,False
950154,NV401465,2026-02-06,Direct Stocks,13080.35,False
950155,NV401471,2026-02-10,Mutual Fund - Equity,2849.89,False
950156,NV401474,2026-06-10,Mutual Fund - Hybrid,2017.88,True
950157,NV401484,2026-02-09,Mutual Fund - Equity,4145.31,False
950158,NV401489,2026-01-11,Direct Stocks,3097.64,False
950159,NV401521,2026-01-19,Mutual Fund - Equity,10300.6,False
950160,NV401532,2026-01-17,ETF,5682.0,False
950161,NV401532,2026-05-01,ETF,4031.81,True
950162,NV401549,2026-04-23,Mutual Fund - Debt,7560.54,False
950163,NV401551,2026-05-14,Mutual Fund - Equity,9159.91,True
950164,NV401567,2026-02-26,Direct Stocks,2664.19,False
950165,NV401568,2026-05-22,Mutual Fund - Equity,2271.62,True
950166,NV401568,2026-07-11,Mutual Fund - Equity,5054.15,False
950167,NV401591,2026-02-14,Mutual Fund - Equity,7000.05,False
950168,NV401594,2026-05-11,Mutual Fund - Equity,10027.92,True
950169,NV401597,2026-07-01,Direct Stocks,3325.47,False
950170,NV401617,2026-06-20,Mutual Fund - Debt,4463.71,True
950171,NV401620,2026-01-22,Direct Stocks,2989.26,False
950172,NV401623,2026-01-19,Mutual Fund - Equity,673.74,False
950173,NV401628,2026-05-01,Mutual Fund - Equity,3476.12,True
950174,NV401631,2026-01-12,Mutual Fund - Debt,1481.74,False
950175,NV401632,2026-03-20,Direct Stocks,1457.68,False
950176,NV401636,2026-06-07,Mutual Fund - Equity,3007.37,True
950177,NV401641,2026-06-27,Direct Stocks,3952.55,True
950178,NV401661,2026-04-19,Mutual Fund - Hybrid,3784.51,False
950179,NV401671,2026-04-26,ETF,22244.41,False
950180,NV401671,2026-06-04,ETF,17509.45,True
950181,NV401687,2026-06-04,ETF,8226.21,True
950182,NV401692,2026-02-04,Mutual Fund - Hybrid,3159.01,False
950183,NV401702,2026-02-25,Direct Stocks,3437.27,False
950184,NV401702,2026-04-07,Direct Stocks,10612.13,False
950185,NV401716,2026-04-24,ETF,2321.39,False
950186,NV401749,2026-05-09,ETF,3468.89,True
950187,NV401749,2026-06-06,ETF,9272.05,True
950188,NV401784,2026-02-07,Mutual Fund - Equity,3111.88,False
950189,NV401786,2026-03-11,Mutual Fund - Equity,3245.38,False
950190,NV401789,2026-04-04,Mutual Fund - Equity,3304.98,False
950191,NV401819,2026-06-14,Direct Stocks,7038.77,True
950192,NV401829,2026-07-15,Mutual Fund - Equity,6767.48,False
950193,NV401846,2026-06-04,Mutual Fund - Equity,11477.68,True
950194,NV401848,2026-02-01,Mutual Fund - Debt,5170.69,False
950195,NV401859,2026-05-24,Mutual Fund - Equity,6904.35,True
950196,NV401867,2026-05-09,Mutual Fund - Equity,8033.33,True
950197,NV401872,2026-07-10,ETF,4177.93,False
950198,NV401876,2026-07-23,Mutual Fund - Hybrid,3181.85,False
950199,NV401883,2026-03-22,Mutual Fund - Equity,3322.23,False
950200,NV401883,2026-05-01,Mutual Fund - Equity,4146.61,True
950201,NV401890,2026-06-14,Mutual Fund - Equity,11653.63,True
950202,NV401893,2026-02-03,Mutual Fund - Debt,3637.05,False
950203,NV401894,2026-06-13,Mutual Fund - Equity,8204.29,True
950204,NV401897,2026-05-01,Mutual Fund - Hybrid,9087.06,True
950205,NV401898,2026-06-22,Mutual Fund - Debt,2570.98,True
950206,NV401899,2026-04-02,ETF,4406.43,False
950207,NV401907,2026-02-27,Mutual Fund - Equity,32979.53,False
950208,NV401924,2026-06-15,Mutual Fund - Equity,1421.4,True
950209,NV401960,2026-05-26,Mutual Fund - Equity,2498.54,True
950210,NV401965,2026-06-14,Mutual Fund - Debt,1804.69,True
950211,NV401976,2026-05-09,Mutual Fund - Hybrid,5390.07,True
950212,NV402010,2026-03-15,Direct Stocks,2129.67,False
950213,NV402028,2026-05-10,Mutual Fund - Debt,4918.65,True
950214,NV402041,2026-06-21,ETF,13353.74,True
950215,NV402043,2026-04-25,Mutual Fund - Equity,2458.31,False
950216,NV402048,2026-05-07,Mutual Fund - Equity,6568.36,True
950217,NV402050,2026-07-05,ETF,4001.32,False
950218,NV402059,2026-04-21,Mutual Fund - Hybrid,8225.54,False
950219,NV402062,2026-05-03,ETF,5185.0,True
950220,NV402065,2026-05-10,ETF,4157.84,True
950221,NV402095,2026-02-16,Mutual Fund - Equity,5692.96,False
950222,NV402103,2026-02-15,Mutual Fund - Equity,1921.0,False
950223,NV402106,2026-05-01,Mutual Fund - Equity,12381.46,True
950224,NV402126,2026-02-20,Mutual Fund - Equity,4090.65,False
950225,NV402126,2026-04-27,Mutual Fund - Equity,2607.08,False
950226,NV402131,2026-07-12,Mutual Fund - Equity,2013.16,False
950227,NV402137,2026-06-19,Direct Stocks,4596.64,True
950228,NV402163,2026-07-18,Mutual Fund - Equity,11355.78,False
950229,NV402167,2026-03-01,Mutual Fund - Debt,11454.13,False
950230,NV402167,2026-05-08,Mutual Fund - Debt,5668.94,True
950231,NV402181,2026-05-20,Mutual Fund - Equity,10419.7,True
950232,NV402182,2026-05-22,Mutual Fund - Equity,6797.49,True
950233,NV402196,2026-05-02,Mutual Fund - Equity,8367.96,True
950234,NV402198,2026-06-02,ETF,5293.55,True
950235,NV402214,2026-06-09,Mutual Fund - Hybrid,5097.64,True
950236,NV402237,2026-05-18,Mutual Fund - Hybrid,7608.02,True
950237,NV402255,2026-06-07,Mutual Fund - Debt,5200.75,True
950238,NV402268,2026-05-06,Mutual Fund - Debt,2564.35,True
950239,NV402269,2026-05-26,Mutual Fund - Hybrid,7021.92,True
950240,NV402292,2026-05-18,Mutual Fund - Equity,8496.95,True
950241,NV402300,2026-03-07,Mutual Fund - Equity,4848.96,False
950242,NV402300,2026-07-01,Mutual Fund - Equity,2183.44,False
950243,NV402305,2026-06-26,Mutual Fund - Hybrid,10148.95,True
950244,NV402346,2026-07-13,Mutual Fund - Debt,21287.28,False
950245,NV402355,2026-03-24,Direct Stocks,4277.14,False
950246,NV402367,2026-04-24,Mutual Fund - Equity,2775.18,False
950247,NV402377,2026-05-27,Mutual Fund - Equity,2125.36,True
950248,NV402425,2026-07-02,Mutual Fund - Debt,2171.0,False
950249,NV402428,2026-03-08,Mutual Fund - Hybrid,8917.08,False
950250,NV402430,2026-04-06,Direct Stocks,1737.2,False
950251,NV402430,2026-06-03,Direct Stocks,3020.42,True
950252,NV402437,2026-06-23,Direct Stocks,2552.66,True
950253,NV402441,2026-05-21,Mutual Fund - Hybrid,6551.67,True
950254,NV402442,2026-04-07,Mutual Fund - Equity,6576.41,False
950255,NV402442,2026-05-04,Mutual Fund - Equity,10220.15,True
950256,NV402447,2026-04-25,Mutual Fund - Equity,2221.03,False
950257,NV402471,2026-03-13,Mutual Fund - Equity,16575.01,False
950258,NV402486,2026-06-24,Mutual Fund - Equity,4679.14,True
950259,NV402504,2026-02-04,Mutual Fund - Equity,4561.88,False
950260,NV402546,2026-02-27,ETF,5922.44,False
950261,NV402546,2026-06-23,ETF,4054.06,True
950262,NV402559,2026-05-20,Mutual Fund - Equity,4678.13,True
950263,NV402566,2026-05-19,Direct Stocks,1924.07,True
950264,NV402567,2026-05-11,Mutual Fund - Equity,1117.83,True
950265,NV402594,2026-05-07,Direct Stocks,5977.2,True
950266,NV402617,2026-05-04,ETF,5004.7,True
950267,NV402628,2026-02-10,Mutual Fund - Equity,2883.28,False
950268,NV402636,2026-06-23,Mutual Fund - Equity,5842.33,True
950269,NV402646,2026-07-11,Mutual Fund - Equity,10049.79,False
950270,NV402648,2026-05-13,Mutual Fund - Debt,4828.47,True
950271,NV402649,2026-03-22,Mutual Fund - Equity,3798.76,False
950272,NV402656,2026-07-06,Mutual Fund - Equity,12609.31,False
950273,NV402661,2026-04-27,Mutual Fund - Equity,13921.19,False
950274,NV402667,2026-04-11,Direct Stocks,6185.42,False
950275,NV402670,2026-05-26,Mutual Fund - Hybrid,5612.8,True
950276,NV402709,2026-03-04,ETF,15093.46,False
950277,NV402746,2026-05-11,ETF,1807.44,True
950278,NV402748,2026-05-17,Direct Stocks,9104.66,True
950279,NV402752,2026-04-08,Mutual Fund - Equity,5451.66,False
950280,NV402782,2026-05-10,Direct Stocks,5039.19,True
950281,NV402785,2026-05-18,Mutual Fund - Equity,14659.1,True
950282,NV402808,2026-06-17,Mutual Fund - Equity,5013.25,True
950283,NV402816,2026-02-06,Mutual Fund - Debt,6241.24,False
950284,NV402816,2026-07-10,Mutual Fund - Debt,2988.68,False
950285,NV402817,2026-02-02,Mutual Fund - Hybrid,3210.43,False
950286,NV402830,2026-02-22,Mutual Fund - Debt,6768.83,False
950287,NV402844,2026-05-09,Mutual Fund - Equity,1427.04,True
950288,NV402859,2026-03-12,Direct Stocks,3692.78,False
950289,NV402864,2026-05-25,Mutual Fund - Hybrid,1644.45,True
950290,NV402871,2026-06-16,Mutual Fund - Debt,3675.72,True
950291,NV402905,2026-04-16,Direct Stocks,9358.69,False
950292,NV402923,2026-07-17,ETF,2793.33,False
950293,NV402932,2026-04-24,Direct Stocks,6623.15,False
950294,NV402932,2026-05-25,Direct Stocks,6023.97,True
950295,NV402934,2026-06-24,ETF,4909.74,True
950296,NV402937,2026-06-23,Direct Stocks,3149.25,True
950297,NV402938,2026-03-02,Direct Stocks,21785.18,False
950298,NV402947,2026-02-19,Mutual Fund - Equity,7111.95,False
950299,NV402976,2026-07-04,Direct Stocks,12160.08,False
950300,NV402978,2026-06-12,Mutual Fund - Hybrid,5729.96,True
950301,NV402981,2026-05-06,Mutual Fund - Hybrid,11646.26,True
950302,NV402997,2026-06-01,Mutual Fund - Equity,6437.21,True
950303,NV403009,2026-06-27,Mutual Fund - Equity,8042.04,True
950304,NV403011,2026-05-05,ETF,7447.44,True
950305,NV403033,2026-04-21,Mutual Fund - Equity,3030.05,False
950306,NV403033,2026-06-07,Mutual Fund - Equity,4854.71,True
950307,NV403064,2026-06-07,Mutual Fund - Equity,1622.68,True
950308,NV403066,2026-05-14,Mutual Fund - Equity,1651.89,True
950309,NV403075,2026-07-16,Mutual Fund - Equity,4361.88,False
950310,NV403077,2026-05-06,Mutual Fund - Equity,7357.89,True
950311,NV403081,2026-04-17,Mutual Fund - Equity,21626.46,False
950312,NV403081,2026-06-21,Mutual Fund - Equity,3673.01,True
950313,NV403104,2026-02-09,Mutual Fund - Hybrid,6571.25,False
950314,NV403118,2026-03-08,Mutual Fund - Hybrid,3864.46,False
950315,NV403122,2026-04-09,Direct Stocks,5456.23,False
950316,NV403134,2026-05-08,Mutual Fund - Debt,4555.45,True
950317,NV403144,2026-04-25,Mutual Fund - Hybrid,6415.69,False
950318,NV403144,2026-06-09,Mutual Fund - Hybrid,1931.16,True
950319,NV403153,2026-05-01,Direct Stocks,3767.89,True
950320,NV403162,2026-03-11,ETF,1774.07,False
950321,NV403172,2026-06-13,Mutual Fund - Equity,633.75,True
950322,NV403182,2026-04-25,Mutual Fund - Debt,2626.76,False
950323,NV403183,2026-05-20,Mutual Fund - Equity,6157.97,True
950324,NV403189,2026-05-17,Mutual Fund - Equity,3933.44,True
950325,NV403196,2026-07-11,Mutual Fund - Equity,3074.32,False
950326,NV403205,2026-02-06,Mutual Fund - Hybrid,4479.79,False
950327,NV403205,2026-06-20,Mutual Fund - Hybrid,8616.77,True
950328,NV403260,2026-05-01,Mutual Fund - Hybrid,13000.92,True
950329,NV403270,2026-06-03,Mutual Fund - Equity,7317.23,True
950330,NV403272,2026-06-19,Mutual Fund - Hybrid,3610.77,True
950331,NV403277,2026-05-20,Direct Stocks,5381.12,True
950332,NV403279,2026-05-04,Mutual Fund - Equity,3142.83,True
950333,NV403308,2026-06-10,Mutual Fund - Equity,8789.64,True
950334,NV403316,2026-03-17,Mutual Fund - Equity,5815.34,False
950335,NV403316,2026-05-06,Mutual Fund - Equity,10625.03,True
950336,NV403322,2026-06-27,Mutual Fund - Equity,6452.77,True
950337,NV403322,2026-07-15,Mutual Fund - Equity,3386.58,False
950338,NV403330,2026-05-16,Mutual Fund - Debt,7189.73,True
950339,NV403333,2026-06-13,Mutual Fund - Equity,9030.98,True
950340,NV403358,2026-03-10,Mutual Fund - Debt,7100.63,False
950341,NV403374,2026-06-21,Mutual Fund - Equity,1744.62,True
950342,NV403385,2026-06-01,Mutual Fund - Equity,20960.03,True
950343,NV403391,2026-02-11,Mutual Fund - Equity,5128.84,False
950344,NV403397,2026-06-27,Mutual Fund - Equity,9594.34,True
950345,NV403398,2026-04-13,Mutual Fund - Debt,2610.77,False
950346,NV403402,2026-05-06,Mutual Fund - Equity,2638.53,True
950347,NV403432,2026-04-04,Mutual Fund - Equity,1308.01,False
950348,NV403444,2026-02-19,Mutual Fund - Equity,2828.1,False
950349,NV403459,2026-06-11,Mutual Fund - Hybrid,7297.98,True
950350,NV403470,2026-05-17,Mutual Fund - Equity,7497.68,True
950351,NV403533,2026-05-21,Mutual Fund - Equity,1480.01,True
950352,NV403536,2026-07-23,Mutual Fund - Equity,2501.25,False
950353,NV403547,2026-05-22,Mutual Fund - Equity,2231.39,True
950354,NV403562,2026-07-22,Mutual Fund - Equity,7447.72,False
950355,NV403567,2026-03-02,Mutual Fund - Equity,3555.28,False
950356,NV403569,2026-07-02,Mutual Fund - Equity,6863.93,False
950357,NV403580,2026-05-02,ETF,4668.29,True
950358,NV403592,2026-04-22,Mutual Fund - Equity,2241.9,False
950359,NV403598,2026-07-27,Mutual Fund - Equity,1045.52,False
950360,NV403617,2026-05-26,Mutual Fund - Debt,4282.37,True
950361,NV403617,2026-06-02,Mutual Fund - Debt,16386.1,True
950362,NV403619,2026-03-22,ETF,1356.02,False
950363,NV403621,2026-05-12,Direct Stocks,4484.52,True
950364,NV403624,2026-02-05,Mutual Fund - Equity,2070.77,False
950365,NV403651,2026-02-07,ETF,709.57,False
950366,NV403660,2026-03-17,ETF,3512.5,False
950367,NV403665,2026-04-05,Mutual Fund - Equity,3652.93,False
950368,NV403665,2026-06-19,Mutual Fund - Equity,7374.95,True
950369,NV403678,2026-03-17,Direct Stocks,3194.47,False
950370,NV403681,2026-05-21,Mutual Fund - Debt,5541.43,True
950371,NV403682,2026-03-13,Direct Stocks,3563.96,False
950372,NV403682,2026-05-12,Direct Stocks,2702.9,True
950373,NV403699,2026-03-04,Direct Stocks,1812.53,False
950374,NV403707,2026-07-05,Mutual Fund - Equity,7826.05,False
950375,NV403709,2026-06-02,Direct Stocks,3491.02,True
950376,NV403722,2026-06-01,Mutual Fund - Equity,4145.97,True
950377,NV403723,2026-05-25,Mutual Fund - Equity,5532.15,True
950378,NV403725,2026-05-18,Mutual Fund - Hybrid,9084.05,True
950379,NV403766,2026-05-16,Mutual Fund - Hybrid,8356.36,True
950380,NV403771,2026-06-23,Mutual Fund - Equity,6484.16,True
950381,NV403774,2026-04-11,Mutual Fund - Debt,7942.24,False
950382,NV403774,2026-05-12,Mutual Fund - Debt,2198.57,True
950383,NV403777,2026-05-15,Mutual Fund - Equity,5916.39,True
950384,NV403782,2026-06-21,Mutual Fund - Equity,8386.96,True
950385,NV403787,2026-07-27,Mutual Fund - Equity,9653.9,False
950386,NV403805,2026-07-19,Mutual Fund - Equity,8829.76,False
950387,NV403813,2026-03-14,Mutual Fund - Equity,8692.16,False
950388,NV403813,2026-05-21,Mutual Fund - Equity,3671.33,True
950389,NV403814,2026-05-21,Mutual Fund - Debt,2661.19,True
950390,NV403827,2026-05-02,Mutual Fund - Debt,4853.92,True
950391,NV403839,2026-05-01,Mutual Fund - Equity,4219.16,True
950392,NV403850,2026-05-27,ETF,6482.11,True
950393,NV403853,2026-05-12,Mutual Fund - Equity,10757.36,True
950394,NV403873,2026-05-16,Mutual Fund - Equity,3425.09,True
950395,NV403900,2026-07-18,Mutual Fund - Equity,8773.88,False
950396,NV403911,2026-05-06,Mutual Fund - Debt,5029.55,True
950397,NV403912,2026-05-08,Mutual Fund - Debt,2143.37,True
950398,NV403919,2026-05-27,Mutual Fund - Equity,4990.39,True
950399,NV403940,2026-05-18,ETF,3741.74,True
950400,NV403955,2026-03-15,Mutual Fund - Equity,2134.16,False
950401,NV403957,2026-04-05,Mutual Fund - Equity,11602.84,False
950402,NV403964,2026-05-20,ETF,2637.62,True
950403,NV403971,2026-07-03,Mutual Fund - Equity,4898.35,False
950404,NV403984,2026-06-20,Mutual Fund - Equity,4085.39,True
950405,NV403987,2026-07-04,Mutual Fund - Debt,3290.87,False
950406,NV404040,2026-04-04,Mutual Fund - Equity,5763.75,False
950407,NV404042,2026-04-13,Mutual Fund - Debt,13449.47,False
950408,NV404042,2026-06-12,Mutual Fund - Debt,3355.26,True
950409,NV404066,2026-05-02,Direct Stocks,11067.74,True
950410,NV404074,2026-05-09,Mutual Fund - Equity,3337.96,True
950411,NV404076,2026-05-16,Direct Stocks,4009.02,True
950412,NV404102,2026-03-25,Mutual Fund - Equity,18543.59,False
950413,NV404109,2026-06-16,Mutual Fund - Equity,7343.79,True
950414,NV404112,2026-07-03,Mutual Fund - Equity,6881.66,False
950415,NV404113,2026-07-05,Mutual Fund - Debt,2262.94,False
950416,NV404125,2026-05-03,Mutual Fund - Equity,731.49,True
950417,NV404130,2026-04-15,Mutual Fund - Equity,3448.17,False
950418,NV404139,2026-07-24,Mutual Fund - Equity,6397.56,False
950419,NV404155,2026-03-10,Mutual Fund - Equity,1522.18,False
950420,NV404172,2026-06-06,Direct Stocks,3861.03,True
950421,NV404176,2026-06-22,Mutual Fund - Equity,7842.99,True
950422,NV404181,2026-03-09,Mutual Fund - Equity,1423.22,False
950423,NV404192,2026-05-08,Direct Stocks,1112.82,True
950424,NV404205,2026-06-09,Mutual Fund - Equity,8192.22,True
