investment_id,user_id,investment_date,product_type,investment_mode,amount_inr
700053,NV400090,2026-05-06,Mutual Fund - Equity,SIP,2462.33
700054,NV400092,2026-01-24,Mutual Fund - Equity,Lumpsum,14404.4
700055,NV400095,2026-01-31,ETF,SIP,2709.78
700056,NV400098,2026-01-31,Mutual Fund - Hybrid,SIP,3097.23
700057,NV400099,2026-01-13,Mutual Fund - Hybrid,SIP,1837.66
700058,NV400099,2026-07-11,ETF,Lumpsum,12699.94
700059,NV400101,2026-01-09,Mutual Fund - Debt,Lumpsum,16060.59
700060,NV400104,2026-01-05,Mutual Fund - Equity,Lumpsum,5011.63
700061,NV400105,2026-01-03,Mutual Fund - Equity,Lumpsum,10328.39
700062,NV400108,2026-01-22,Mutual Fund - Equity,SIP,3558.83
700063,NV400108,2026-05-07,Mutual Fund - Debt,SIP,1698.82
700064,NV400109,2026-01-25,Mutual Fund - Debt,SIP,2054.74
700065,NV400111,2026-01-14,Direct Stocks,SIP,4722.71
700066,NV400111,2026-06-14,Mutual Fund - Hybrid,SIP,2905.6
700067,NV400112,2026-01-17,Direct Stocks,SIP,1737.29
700068,NV400114,2026-01-30,Mutual Fund - Equity,SIP,3329.93
700069,NV400114,2026-02-22,Mutual Fund - Debt,Lumpsum,14602.42
700070,NV400115,2026-01-14,Direct Stocks,SIP,6527.25
700071,NV400117,2026-01-19,Mutual Fund - Equity,SIP,1050.71
700072,NV400123,2026-01-28,Mutual Fund - Debt,Lumpsum,16255.95
700073,NV400124,2026-01-13,Mutual Fund - Equity,SIP,2561.2
700074,NV400125,2026-01-29,Direct Stocks,SIP,2965.59
700075,NV400128,2026-01-19,Direct Stocks,Lumpsum,7563.72
700076,NV400130,2026-01-16,Direct Stocks,SIP,3656.54
700077,NV400130,2026-05-19,Mutual Fund - Hybrid,SIP,5890.87
700078,NV400136,2026-01-16,Mutual Fund - Equity,Lumpsum,2927.35
700079,NV400137,2026-01-20,Mutual Fund - Equity,Lumpsum,23679.18
700080,NV400137,2026-03-25,Mutual Fund - Hybrid,Lumpsum,6645.76
700081,NV400138,2026-01-20,ETF,Lumpsum,8565.55
700082,NV400140,2026-01-31,Mutual Fund - Equity,SIP,8637.33
700083,NV400142,2026-01-11,Mutual Fund - Equity,Lumpsum,48443.57
700084,NV400142,2026-06-20,Mutual Fund - Hybrid,Lumpsum,8528.04
700085,NV400147,2026-01-28,Mutual Fund - Hybrid,Lumpsum,8477.26
700086,NV400148,2026-01-04,ETF,SIP,4274.24
700087,NV400152,2026-01-17,ETF,SIP,1745.43
700088,NV400153,2026-01-09,Mutual Fund - Debt,Lumpsum,13725.53
700089,NV400155,2026-01-27,Direct Stocks,Lumpsum,39029.02
700090,NV400157,2026-01-23,Mutual Fund - Debt,SIP,3380.19
700091,NV400158,2026-01-24,Mutual Fund - Equity,SIP,5847.75
700092,NV400159,2026-01-11,Direct Stocks,SIP,3496.51
700093,NV400159,2026-02-07,Mutual Fund - Hybrid,SIP,4507.55
700094,NV400160,2026-02-01,Direct Stocks,SIP,1862.55
700095,NV400160,2026-05-06,Mutual Fund - Debt,SIP,4311.58
700096,NV400161,2026-01-14,Mutual Fund - Equity,SIP,5382.78
700097,NV400163,2026-01-18,Mutual Fund - Equity,SIP,4205.69
700098,NV400164,2026-01-21,Mutual Fund - Hybrid,SIP,2098.53
700099,NV400164,2026-04-08,Mutual Fund - Debt,SIP,2642.43
700100,NV400166,2026-01-06,Direct Stocks,SIP,2502.12
700101,NV400167,2026-01-22,Mutual Fund - Equity,SIP,1785.16
700102,NV400168,2026-01-15,Direct Stocks,SIP,1620.35
700103,NV400168,2026-07-11,Mutual Fund - Equity,SIP,1972.41
700104,NV400169,2026-01-11,ETF,SIP,4935.37
700105,NV400172,2026-01-22,Mutual Fund - Equity,SIP,905.39
700106,NV400175,2026-01-14,Mutual Fund - Hybrid,Lumpsum,10070.79
700107,NV400184,2026-01-30,Mutual Fund - Equity,SIP,2092.6
700108,NV400185,2026-01-10,Mutual Fund - Equity,Lumpsum,15680.23
700109,NV400185,2026-04-23,Mutual Fund - Hybrid,SIP,6951.31
700110,NV400187,2026-01-15,Mutual Fund - Equity,SIP,1623.29
700111,NV400187,2026-05-17,Mutual Fund - Debt,Lumpsum,6018.74
700112,NV400188,2026-01-26,Mutual Fund - Equity,SIP,2307.69
700113,NV400191,2026-01-25,Direct Stocks,Lumpsum,9692.09
700114,NV400197,2026-01-06,Mutual Fund - Equity,SIP,1261.01
700115,NV400197,2026-02-11,Mutual Fund - Debt,Lumpsum,4078.2
700116,NV400198,2026-01-11,Mutual Fund - Equity,SIP,2321.73
700117,NV400199,2026-01-30,Mutual Fund - Equity,SIP,1553.84
700118,NV400200,2026-01-25,Mutual Fund - Equity,SIP,2981.62
700119,NV400205,2026-01-06,Mutual Fund - Equity,Lumpsum,15821.46
700120,NV400205,2026-03-13,Mutual Fund - Debt,Lumpsum,21039.6
700121,NV400206,2026-01-06,Mutual Fund - Equity,Lumpsum,16325.43
700122,NV400208,2026-01-12,Mutual Fund - Hybrid,SIP,2813.25
700123,NV400211,2026-01-31,Mutual Fund - Equity,SIP,2199.57
700124,NV400211,2026-05-05,ETF,SIP,1655.17
700125,NV400214,2026-01-31,Mutual Fund - Equity,Lumpsum,6225.89
700126,NV400220,2026-01-20,Direct Stocks,SIP,5993.77
700127,NV400222,2026-01-16,Mutual Fund - Equity,Lumpsum,11655.06
700128,NV400222,2026-05-25,Mutual Fund - Hybrid,SIP,4316.65
700129,NV400223,2026-01-05,Mutual Fund - Equity,Lumpsum,13782.29
700130,NV400224,2026-01-07,ETF,SIP,2578.85
700131,NV400226,2026-01-08,Mutual Fund - Equity,Lumpsum,10683.0
700132,NV400227,2026-02-04,Mutual Fund - Equity,SIP,2333.99
700133,NV400227,2026-05-05,Mutual Fund - Debt,Lumpsum,4629.84
700134,NV400234,2026-02-03,Mutual Fund - Equity,Lumpsum,10636.84
700135,NV400234,2026-05-04,ETF,SIP,2310.99
700136,NV400235,2026-01-28,Mutual Fund - Equity,SIP,2114.43
700137,NV400237,2026-01-04,Mutual Fund - Equity,SIP,5718.0
700138,NV400237,2026-02-10,ETF,SIP,2501.57
700139,NV400238,2026-01-16,Mutual Fund - Equity,Lumpsum,9491.53
700140,NV400242,2026-01-22,Mutual Fund - Hybrid,SIP,3619.35
700141,NV400244,2026-01-20,Mutual Fund - Equity,SIP,2365.22
700142,NV400246,2026-01-29,Mutual Fund - Equity,SIP,1410.14
700143,NV400253,2026-01-21,Mutual Fund - Debt,Lumpsum,11295.53
700144,NV400254,2026-01-12,Mutual Fund - Equity,Lumpsum,4779.58
700145,NV400257,2026-01-10,Direct Stocks,SIP,5406.21
700146,NV400261,2026-01-28,Mutual Fund - Equity,Lumpsum,8759.39
700147,NV400262,2026-01-18,Direct Stocks,Lumpsum,30431.0
700148,NV400262,2026-05-05,Mutual Fund - Hybrid,Lumpsum,12078.2
700149,NV400263,2026-01-08,Mutual Fund - Hybrid,Lumpsum,21114.59
700150,NV400264,2026-01-23,Direct Stocks,SIP,1452.08
700151,NV400264,2026-07-15,Mutual Fund - Hybrid,Lumpsum,4473.58
700152,NV400265,2026-01-29,Mutual Fund - Debt,Lumpsum,6516.43
700153,NV400265,2026-02-21,Mutual Fund - Hybrid,Lumpsum,22535.33
700154,NV400266,2026-01-19,Mutual Fund - Equity,Lumpsum,25235.58
700155,NV400266,2026-07-05,ETF,SIP,1904.48
700156,NV400267,2026-01-31,Mutual Fund - Equity,SIP,5213.62
700157,NV400271,2026-01-27,Mutual Fund - Hybrid,SIP,3367.54
700158,NV400277,2026-01-21,Mutual Fund - Hybrid,SIP,10301.86
700159,NV400278,2026-01-15,ETF,Lumpsum,9608.25
700160,NV400278,2026-05-10,Mutual Fund - Equity,SIP,1562.52
700161,NV400281,2026-01-29,Direct Stocks,SIP,3729.1
700162,NV400281,2026-07-12,Mutual Fund - Debt,SIP,1366.9
700163,NV400282,2026-01-10,Mutual Fund - Equity,SIP,3116.32
700164,NV400283,2026-02-02,Mutual Fund - Debt,SIP,4080.63
700165,NV400286,2026-01-14,Mutual Fund - Hybrid,SIP,4773.42
700166,NV400286,2026-02-08,Direct Stocks,SIP,2340.08
700167,NV400288,2026-01-10,Mutual Fund - Equity,SIP,1452.62
700168,NV400290,2026-01-27,Mutual Fund - Hybrid,SIP,2251.11
700169,NV400294,2026-01-12,Mutual Fund - Debt,Lumpsum,14105.33
700170,NV400296,2026-01-20,Mutual Fund - Equity,Lumpsum,20368.96
700171,NV400297,2026-02-01,Direct Stocks,SIP,12666.16
700172,NV400300,2026-01-25,Mutual Fund - Equity,Lumpsum,5977.96
700173,NV400302,2026-01-18,Mutual Fund - Equity,SIP,3427.41
700174,NV400310,2026-01-31,Mutual Fund - Equity,SIP,2331.36
700175,NV400313,2026-01-12,Mutual Fund - Equity,Lumpsum,8901.81
700176,NV400314,2026-01-12,Mutual Fund - Equity,SIP,7640.2
700177,NV400315,2026-01-16,ETF,SIP,3156.01
700178,NV400316,2026-01-14,Direct Stocks,SIP,2844.93
700179,NV400317,2026-01-20,Mutual Fund - Debt,Lumpsum,13747.27
700180,NV400320,2026-01-21,Mutual Fund - Equity,SIP,3583.32
700181,NV400325,2026-01-14,Mutual Fund - Equity,Lumpsum,17693.12
700182,NV400326,2026-01-06,Mutual Fund - Equity,SIP,3874.44
700183,NV400326,2026-01-31,Mutual Fund - Hybrid,SIP,5533.33
700184,NV400328,2026-01-20,Mutual Fund - Equity,SIP,1591.98
700185,NV400331,2026-01-31,ETF,Lumpsum,36496.58
700186,NV400335,2026-01-25,Mutual Fund - Equity,SIP,2581.25
700187,NV400337,2026-01-12,Direct Stocks,SIP,1973.07
700188,NV400337,2026-05-14,Mutual Fund - Debt,Lumpsum,9844.74
700189,NV400342,2026-01-05,Mutual Fund - Equity,Lumpsum,16862.1
700190,NV400344,2026-01-24,Mutual Fund - Equity,SIP,2566.23
700191,NV400348,2026-01-28,Direct Stocks,SIP,10089.72
700192,NV400349,2026-01-09,Mutual Fund - Hybrid,Lumpsum,14620.72
700193,NV400349,2026-02-24,Mutual Fund - Equity,SIP,1838.35
700194,NV400353,2026-01-16,Mutual Fund - Equity,SIP,5447.19
700195,NV400354,2026-01-04,Mutual Fund - Hybrid,SIP,2038.74
700196,NV400354,2026-02-06,ETF,SIP,2259.35
700197,NV400355,2026-01-20,ETF,SIP,2777.65
700198,NV400357,2026-02-03,Mutual Fund - Equity,SIP,2972.65
700199,NV400357,2026-06-08,Mutual Fund - Debt,SIP,3021.16
700200,NV400360,2026-01-18,Direct Stocks,Lumpsum,21047.13
700201,NV400361,2026-01-27,Direct Stocks,SIP,1504.54
700202,NV400366,2026-02-01,Direct Stocks,SIP,4140.03
700203,NV400366,2026-03-01,Mutual Fund - Equity,SIP,6785.36
700204,NV400367,2026-01-08,Mutual Fund - Equity,SIP,4284.27
700205,NV400368,2026-01-28,Mutual Fund - Equity,SIP,2872.78
700206,NV400372,2026-01-04,Direct Stocks,SIP,1735.93
700207,NV400373,2026-01-22,Mutual Fund - Equity,SIP,2868.32
700208,NV400375,2026-01-08,Mutual Fund - Hybrid,SIP,3319.21
700209,NV400376,2026-01-10,Mutual Fund - Hybrid,SIP,762.08
700210,NV400376,2026-05-03,ETF,SIP,3895.03
700211,NV400378,2026-01-03,Mutual Fund - Equity,SIP,3765.21
700212,NV400384,2026-01-20,Mutual Fund - Hybrid,SIP,6896.14
700213,NV400387,2026-01-31,Mutual Fund - Debt,SIP,3956.64
700214,NV400387,2026-03-17,Mutual Fund - Equity,SIP,1943.42
700215,NV400392,2026-01-08,Mutual Fund - Equity,Lumpsum,8040.17
700216,NV400394,2026-01-15,ETF,Lumpsum,15018.39
700217,NV400394,2026-07-01,Mutual Fund - Hybrid,SIP,5118.81
700218,NV400396,2026-01-24,Mutual Fund - Equity,SIP,1471.08
700219,NV400397,2026-01-07,Mutual Fund - Debt,Lumpsum,24177.61
700220,NV400398,2026-01-02,Mutual Fund - Equity,Lumpsum,9330.22
700221,NV400399,2026-01-12,Mutual Fund - Debt,Lumpsum,6822.19
700222,NV400400,2026-01-17,Direct Stocks,SIP,2666.91
700223,NV400400,2026-04-10,Mutual Fund - Debt,SIP,2047.51
700224,NV400405,2026-01-27,Direct Stocks,SIP,1441.57
700225,NV400405,2026-03-29,ETF,SIP,1096.53
700226,NV400408,2026-01-20,Mutual Fund - Debt,Lumpsum,4792.91
700227,NV400412,2026-01-18,ETF,SIP,1407.43
700228,NV400412,2026-04-05,Direct Stocks,SIP,3591.81
700229,NV400414,2026-01-08,Mutual Fund - Debt,SIP,1354.99
700230,NV400415,2026-01-27,Direct Stocks,Lumpsum,17361.2
700231,NV400416,2026-01-20,Mutual Fund - Equity,Lumpsum,5863.33
700232,NV400419,2026-01-09,Direct Stocks,SIP,1172.34
700233,NV400422,2026-01-13,ETF,Lumpsum,5869.85
700234,NV400422,2026-05-07,Mutual Fund - Hybrid,Lumpsum,6184.87
700235,NV400424,2026-01-26,Mutual Fund - Equity,Lumpsum,5813.42
700236,NV400425,2026-01-21,Mutual Fund - Equity,SIP,4884.22
700237,NV400427,2026-01-30,Mutual Fund - Debt,SIP,3087.43
700238,NV400430,2026-01-24,Mutual Fund - Equity,Lumpsum,13205.13
700239,NV400433,2026-01-22,Mutual Fund - Equity,SIP,3957.08
700240,NV400434,2026-01-20,Mutual Fund - Hybrid,SIP,2808.2
700241,NV400434,2026-07-04,Mutual Fund - Debt,Lumpsum,7542.96
700242,NV400438,2026-01-04,Mutual Fund - Equity,SIP,5843.95
700243,NV400438,2026-04-04,Mutual Fund - Hybrid,Lumpsum,14928.27
700244,NV400439,2026-01-12,Mutual Fund - Equity,Lumpsum,14697.58
700245,NV400440,2026-01-20,Mutual Fund - Hybrid,SIP,3828.97
700246,NV400444,2026-01-24,Mutual Fund - Equity,SIP,2229.36
700247,NV400453,2026-01-26,Direct Stocks,Lumpsum,34455.43
700248,NV400454,2026-01-25,Mutual Fund - Equity,Lumpsum,34181.29
700249,NV400454,2026-03-16,ETF,Lumpsum,12802.76
700250,NV400456,2026-01-12,Mutual Fund - Equity,Lumpsum,6171.19
700251,NV400456,2026-05-05,ETF,Lumpsum,20841.13
700252,NV400457,2026-01-23,Mutual Fund - Debt,SIP,6140.03
700253,NV400460,2026-01-25,ETF,SIP,1178.76
700254,NV400461,2026-01-06,Mutual Fund - Equity,SIP,6512.57
700255,NV400461,2026-04-06,Mutual Fund - Hybrid,Lumpsum,6118.25
700256,NV400466,2026-01-29,Mutual Fund - Equity,SIP,4460.08
700257,NV400467,2026-01-29,Mutual Fund - Hybrid,SIP,3030.23
700258,NV400468,2026-01-13,Mutual Fund - Equity,SIP,1367.09
700259,NV400469,2026-01-17,Mutual Fund - Debt,Lumpsum,3907.87
700260,NV400475,2026-01-25,Mutual Fund - Hybrid,SIP,2242.37
700261,NV400476,2026-01-23,Mutual Fund - Equity,SIP,2539.88
700262,NV400479,2026-01-31,Mutual Fund - Equity,Lumpsum,15108.4
700263,NV400481,2026-01-24,Mutual Fund - Hybrid,Lumpsum,9710.48
700264,NV400481,2026-03-10,ETF,SIP,4148.78
700265,NV400483,2026-01-14,Mutual Fund - Equity,SIP,2329.16
700266,NV400486,2026-01-19,Mutual Fund - Equity,SIP,3057.38
700267,NV400493,2026-01-28,Mutual Fund - Hybrid,SIP,4425.24
700268,NV400493,2026-07-23,Mutual Fund - Equity,SIP,2204.09
700269,NV400495,2026-01-13,Mutual Fund - Equity,SIP,4827.73
700270,NV400497,2026-01-03,Mutual Fund - Equity,SIP,4746.21
700271,NV400500,2026-01-31,Mutual Fund - Debt,Lumpsum,9000.95
700272,NV400503,2026-01-22,Direct Stocks,Lumpsum,10200.49
700273,NV400504,2026-01-29,Mutual Fund - Equity,SIP,4789.93
700274,NV400507,2026-01-13,Mutual Fund - Debt,SIP,3883.98
700275,NV400508,2026-01-03,Mutual Fund - Equity,Lumpsum,19486.08
700276,NV400508,2026-05-10,Mutual Fund - Debt,Lumpsum,4683.97
700277,NV400509,2026-01-22,Mutual Fund - Equity,Lumpsum,8298.04
700278,NV400509,2026-02-25,Mutual Fund - Debt,Lumpsum,1805.82
700279,NV400513,2026-01-26,ETF,Lumpsum,12779.67
700280,NV400513,2026-04-12,Mutual Fund - Hybrid,SIP,1508.62
700281,NV400514,2026-01-11,Mutual Fund - Equity,SIP,3881.15
700282,NV400515,2026-01-11,Mutual Fund - Hybrid,Lumpsum,3326.58
700283,NV400515,2026-03-24,Direct Stocks,SIP,3796.38
700284,NV400519,2026-01-29,Mutual Fund - Hybrid,SIP,1730.26
700285,NV400519,2026-06-13,Mutual Fund - Equity,SIP,876.77
700286,NV400522,2026-01-09,Mutual Fund - Hybrid,SIP,4901.07
700287,NV400522,2026-06-07,Mutual Fund - Debt,Lumpsum,25619.28
700288,NV400524,2026-01-11,Direct Stocks,Lumpsum,18407.17
700289,NV400525,2026-01-12,Mutual Fund - Equity,Lumpsum,15256.89
700290,NV400525,2026-04-26,Mutual Fund - Debt,SIP,1241.59
700291,NV400526,2026-01-23,Mutual Fund - Hybrid,SIP,4027.27
700292,NV400527,2026-01-23,Mutual Fund - Equity,SIP,2789.5
700293,NV400527,2026-03-24,ETF,Lumpsum,9322.64
700294,NV400528,2026-01-06,Mutual Fund - Hybrid,Lumpsum,18443.53
700295,NV400529,2026-01-18,Mutual Fund - Equity,SIP,2533.75
700296,NV400529,2026-03-05,Mutual Fund - Hybrid,SIP,2817.53
700297,NV400531,2026-01-08,Direct Stocks,Lumpsum,8517.49
700298,NV400531,2026-04-19,ETF,Lumpsum,5875.48
700299,NV400533,2026-02-02,Mutual Fund - Hybrid,Lumpsum,47286.43
700300,NV400534,2026-01-16,Mutual Fund - Equity,Lumpsum,8096.44
700301,NV400534,2026-04-05,Mutual Fund - Debt,SIP,1386.95
700302,NV400535,2026-01-10,Direct Stocks,SIP,1125.84
700303,NV400535,2026-03-18,Mutual Fund - Debt,SIP,2410.21
700304,NV400539,2026-01-31,Mutual Fund - Equity,Lumpsum,28333.91
700305,NV400540,2026-01-05,ETF,Lumpsum,18503.07
700306,NV400541,2026-01-22,Mutual Fund - Equity,SIP,1563.99
700307,NV400549,2026-01-15,Direct Stocks,SIP,1789.05
700308,NV400553,2026-01-25,Mutual Fund - Debt,SIP,2044.51
700309,NV400553,2026-05-28,ETF,SIP,2559.25
700310,NV400555,2026-01-09,Mutual Fund - Equity,SIP,3549.78
700311,NV400556,2026-01-14,Mutual Fund - Hybrid,Lumpsum,14572.56
700312,NV400559,2026-01-03,Mutual Fund - Debt,Lumpsum,11657.34
700313,NV400564,2026-01-04,Direct Stocks,SIP,3000.65
700314,NV400565,2026-01-08,Mutual Fund - Equity,SIP,2110.23
700315,NV400565,2026-03-13,Mutual Fund - Debt,Lumpsum,3974.11
700316,NV400572,2026-01-17,Mutual Fund - Equity,SIP,3137.71
700317,NV400572,2026-07-13,ETF,Lumpsum,11307.27
700318,NV400579,2026-01-16,Mutual Fund - Equity,Lumpsum,5272.36
700319,NV400583,2026-01-10,Mutual Fund - Equity,SIP,2490.36
700320,NV400592,2026-01-23,Mutual Fund - Equity,Lumpsum,24450.82
700321,NV400596,2026-01-11,Mutual Fund - Equity,SIP,6661.65
700322,NV400598,2026-01-30,Mutual Fund - Hybrid,SIP,3362.05
700323,NV400599,2026-01-19,Mutual Fund - Hybrid,Lumpsum,11531.19
700324,NV400599,2026-06-20,Mutual Fund - Debt,SIP,3290.12
700325,NV400600,2026-01-26,Mutual Fund - Equity,Lumpsum,21160.1
700326,NV400604,2026-01-18,Mutual Fund - Equity,Lumpsum,6346.54
700327,NV400604,2026-04-10,ETF,Lumpsum,5955.92
700328,NV400607,2026-01-19,Mutual Fund - Hybrid,SIP,1378.56
700329,NV400607,2026-03-09,Mutual Fund - Equity,SIP,5675.12
700330,NV400608,2026-01-07,Direct Stocks,Lumpsum,7271.77
700331,NV400608,2026-03-11,ETF,Lumpsum,12059.71
700332,NV400611,2026-01-02,Direct Stocks,SIP,919.55
700333,NV400612,2026-01-29,Mutual Fund - Debt,Lumpsum,16626.24
700334,NV400612,2026-04-15,ETF,Lumpsum,16941.21
700335,NV400613,2026-01-24,Mutual Fund - Debt,SIP,1650.49
700336,NV400614,2026-01-30,Mutual Fund - Equity,SIP,4044.95
700337,NV400616,2026-01-12,Direct Stocks,Lumpsum,4004.72
700338,NV400616,2026-06-13,Mutual Fund - Debt,Lumpsum,7923.34
700339,NV400617,2026-01-31,Mutual Fund - Debt,Lumpsum,23882.75
700340,NV400617,2026-04-18,Mutual Fund - Hybrid,Lumpsum,42839.62
700341,NV400620,2026-01-24,Direct Stocks,SIP,4860.86
700342,NV400621,2026-01-05,Mutual Fund - Equity,Lumpsum,4664.19
700343,NV400621,2026-04-08,ETF,SIP,3027.78
700344,NV400622,2026-01-16,Direct Stocks,SIP,4474.64
700345,NV400622,2026-05-02,Mutual Fund - Hybrid,Lumpsum,6638.34
700346,NV400626,2026-01-18,Mutual Fund - Hybrid,SIP,3320.81
700347,NV400632,2026-01-05,Mutual Fund - Equity,SIP,2585.32
700348,NV400633,2026-01-11,ETF,SIP,2285.81
700349,NV400633,2026-03-26,Mutual Fund - Equity,Lumpsum,41931.96
700350,NV400635,2026-01-25,Mutual Fund - Equity,Lumpsum,14418.73
700351,NV400635,2026-02-18,Direct Stocks,Lumpsum,4541.92
700352,NV400638,2026-01-18,Mutual Fund - Equity,SIP,3515.56
700353,NV400646,2026-01-16,Mutual Fund - Equity,SIP,2838.62
700354,NV400654,2026-01-05,Mutual Fund - Hybrid,SIP,1731.2
700355,NV400657,2026-01-09,Mutual Fund - Hybrid,SIP,2404.5
700356,NV400657,2026-06-03,ETF,Lumpsum,6326.19
700357,NV400658,2026-01-11,Direct Stocks,SIP,798.66
700358,NV400659,2026-01-12,Mutual Fund - Equity,Lumpsum,7045.53
700359,NV400660,2026-01-19,Direct Stocks,SIP,1217.19
700360,NV400661,2026-01-24,Mutual Fund - Equity,SIP,7309.23
700361,NV400661,2026-03-08,ETF,SIP,1385.57
700362,NV400665,2026-01-16,Direct Stocks,SIP,1607.63
700363,NV400668,2026-01-02,Mutual Fund - Equity,SIP,2138.84
700364,NV400668,2026-03-15,Mutual Fund - Hybrid,SIP,810.75
700365,NV400670,2026-01-11,Mutual Fund - Equity,Lumpsum,17257.13
700366,NV400675,2026-01-26,Direct Stocks,SIP,3140.77
700367,NV400677,2026-01-13,Mutual Fund - Equity,Lumpsum,13720.93
700368,NV400678,2026-01-28,Mutual Fund - Equity,Lumpsum,16044.22
700369,NV400678,2026-04-07,ETF,SIP,4813.92
700370,NV400679,2026-01-08,Mutual Fund - Hybrid,SIP,2645.29
700371,NV400680,2026-01-11,Direct Stocks,SIP,1094.27
700372,NV400682,2026-01-17,Mutual Fund - Equity,Lumpsum,7359.07
700373,NV400682,2026-03-12,ETF,SIP,4764.01
700374,NV400684,2026-01-19,ETF,SIP,3513.49
700375,NV400685,2026-01-12,Mutual Fund - Equity,Lumpsum,21029.51
700376,NV400688,2026-01-03,Mutual Fund - Equity,SIP,4397.71
700377,NV400689,2026-01-22,Direct Stocks,SIP,2245.13
700378,NV400689,2026-06-24,ETF,SIP,1709.65
700379,NV400691,2026-01-17,Mutual Fund - Debt,SIP,4645.82
700380,NV400692,2026-01-26,ETF,Lumpsum,19900.59
700381,NV400694,2026-01-15,Mutual Fund - Hybrid,SIP,1239.09
700382,NV400695,2026-01-04,Direct Stocks,SIP,1306.16
700383,NV400696,2026-01-12,Direct Stocks,Lumpsum,18924.75
700384,NV400699,2026-01-16,Mutual Fund - Equity,SIP,4762.23
700385,NV400699,2026-03-02,Mutual Fund - Hybrid,Lumpsum,7049.89
700386,NV400701,2026-01-09,Mutual Fund - Equity,Lumpsum,22124.47
700387,NV400701,2026-07-01,ETF,Lumpsum,31388.23
700388,NV400706,2026-01-08,Mutual Fund - Equity,SIP,19452.27
